Nome_csv,Squadra_csv,Ruolo,Media,ALG FCP,Punteggio FantaCalcioPedia,Solidità fantainvestimento,Resistenza infortuni,Ultimi Arrivi,In Crescita,Rischiosi,Fuoriclasse,Outsider,Titolari,Economici,Giovani,Infortunati,Buona Media,Goleador,Assistman,Rigorista,Sp. Piazzati,Presenze previste,Gol previsti,Assist previsti,MatchingKey,Id,R,RM,Nome_excel,Squadra_excel,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
dallinga,Bologna,A,68.5,77,77,60,60,,,,,Outsider,,,,,,Goleador,,,,21/30,8/11,4/7,dallinga,6643.0,A,Pc,dallinga,Bologna,20.0,22.0,-2.0,20.0,21.0,-1.0,88.0,86.0
dambrosio,Monza,D,50.0,53,67,40,40,,,,,,,,,,,,,,,21/30,3/5,0/2,dambrosio,253.0,D,B;Dd;Ds,dambrosio,Monza,3.0,3.0,0.0,4.0,4.0,0.0,5.0,6.0
daniliuc,Verona,D,51.0,46,58,40,60,,,,,,,,,,,,,,,21/30,0/1,0/1,daniliuc,5554.0,D,Dd;Dc,daniliuc,Verona,5.0,5.0,0.0,5.0,5.0,0.0,8.0,8.0
danilo,Juventus,D,73.0,73,79,80,60,,,,,,,,,,Buona Media,,,,,21/30,3/5,0/3,danilo,4237.0,D,B;Dd;Ds,danilo,Juventus,13.0,14.0,-1.0,15.0,16.0,-1.0,25.0,35.0
darmian,Inter,D,61.5,77,69,40,60,,,,,,,,,,Buona Media,,Assistman,,,11/20,0/3,3/5,darmian,2525.0,D,B;Dd;E,darmian,Inter,10.0,8.0,2.0,10.0,9.0,1.0,21.0,24.0
davis k.,Udinese,A,52.75,47,64,40,60,,,,,,,,,,,,,,,11/20,3/5,0/2,davis,5637.0,A,Pc,davis k.,Udinese,6.0,6.0,0.0,5.0,5.0,0.0,8.0,6.0
dawidowicz,Verona,D,55.5,58,64,40,60,,,,,,,,,,,,,,,21/30,0/2,0/2,dawidowicz,4493.0,D,Dc,dawidowicz,Verona,5.0,5.0,0.0,5.0,5.0,0.0,7.0,7.0
de gea,Fiorentina,P,64.5,63,75,60,60,,,,Fuoriclasse,,,,,,,,,,,30+,0,0,de gea,2521.0,P,Por,de gea,Fiorentina,10.0,11.0,-1.0,10.0,11.0,-1.0,29.0,29.0
de ketelaere,Atalanta,A,66.25,92,73,40,60,,,,Fuoriclasse,,,,,,,Goleador,Assistman,,,11/20,3/5,3/5,de ketelaere,5995.0,A,A,de ketelaere,Atalanta,20.0,21.0,-1.0,20.0,21.0,-1.0,137.0,140.0
de roon,Atalanta,C,71.0,70,74,60,80,,,,,,,,,,Buona Media,,,,,30+,0/3,3/5,de roon,22.0,C,M;C,de roon,Atalanta,7.0,8.0,-1.0,8.0,9.0,-1.0,16.0,18.0
de sciglio,Empoli,D,42.75,46,65,40,20,,,,,,,,,,,,,,,11/20,0/1,0/1,de sciglio,358.0,D,Dd;Ds;E,de sciglio,Empoli,1.0,1.0,0.0,1.0,1.0,0.0,10.0,12.0
de silvestri,Bologna,D,70.75,54,69,80,80,,,,,,,,,,,,Assistman,,,21/30,0/3,0/3,de silvestri,487.0,D,Dd;E,de silvestri,Bologna,2.0,3.0,-1.0,2.0,3.0,-1.0,5.0,5.0
de vrij,Inter,D,67.75,69,82,60,60,,,,,,,,,,,Goleador,,,,0/10,0/3,0/3,de vrij,322.0,D,Dc,de vrij,Inter,7.0,8.0,-1.0,7.0,8.0,-1.0,18.0,18.0
de winter,Genoa,D,50.75,60,63,40,40,,,,,Outsider,,,,,,,,,,21/30,0/3,0/1,de winter,5739.0,D,Dd;Dc,de winter,Genoa,5.0,6.0,-1.0,5.0,6.0,-1.0,8.0,10.0
deiola,Cagliari,C,50.75,61,62,40,40,,,,,,,,,,,,,,,21/30,0/3,0/3,deiola,1871.0,C,M;C,deiola,Cagliari,4.0,4.0,0.0,5.0,5.0,0.0,6.0,7.0
del prato enrico,Parma,D,61.5,63,63,60,60,,,,,Outsider,,,,,,,Assistman,,,30+,0/3,3/5,del prato,,,,,,,,,,,,,
dele-bashiru fisayo,Lazio,C,52.0,69,59,20,60,,,,,Outsider,,,,,,Goleador,,,,11/20,3/5,0/3,dele-bashiru,6629.0,C,C;T,dele-bashiru,Lazio,6.0,5.0,1.0,6.0,5.0,1.0,21.0,21.0
dembele ali,Torino,D,46.0,51,53,20,60,,,,,,,,,,,,Assistman,,,0/10,0/2,0/3,dembele,6826.0,D,E,dembele a.,Torino,2.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0
deulofeu gerard,Udinese,A,54.75,67,72,40,40,,,,,,,,,,Buona Media,Goleador,Assistman,Rigorista,,21/30,8/11,8/11,deulofeu,,,,,,,,,,,,,
di chiara,Parma,D,53.25,51,62,40,60,,,,,,,,,,,,,,,0/10,0,0,di chiara,2203.0,D,Ds;E,di chiara,Parma,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
di gennaro,Inter,P,44.0,50,46,20,60,,,,,,,,,,,,,,,0/10,0,0,di gennaro,1926.0,P,Por,di gennaro,Inter,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
di gregorio,Juventus,P,70.75,85,78,60,60,,,,,Outsider,,,,,,,,,,21/30,20/30,0,di gregorio,5876.0,P,Por,di gregorio,Juventus,18.0,17.0,1.0,18.0,17.0,1.0,110.0,110.0
di lorenzo,Napoli,D,73.75,83,72,60,80,,,,Fuoriclasse,,,,,,Buona Media,Goleador,,,,21/30,3/5,3/5,di lorenzo,2816.0,D,B;Dd;E,di lorenzo,Napoli,18.0,18.0,0.0,20.0,20.0,0.0,78.0,88.0
dia,Lazio,A,61.0,79,65,60,40,,,,,Outsider,,,,,Buona Media,Goleador,,,,21/30,8/11,4/7,dia,5672.0,A,Pc,dia,Lazio,16.0,15.0,1.0,15.0,14.0,1.0,72.0,70.0
dimarco,Inter,D,69.75,87,72,60,60,,,,,,,,,,Buona Media,Goleador,Assistman,,,21/30,3/5,3/5,dimarco,254.0,D,E,dimarco,Inter,24.0,24.0,0.0,23.0,23.0,0.0,100.0,95.0
djalo tiago,Juventus,D,55.25,59,62,40,60,,,,,,,,,,,Goleador,,,,0/10,0/3,0/3,djalo,,,,,,,,,,,,,
djimsiti,Atalanta,D,60.75,74,69,40,60,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/3,djimsiti,787.0,D,Dc,djimsiti,Atalanta,7.0,8.0,-1.0,7.0,8.0,-1.0,18.0,18.0
djuric,Monza,A,60.25,75,66,40,60,,,,,Outsider,,,,,,,,,,11/20,3/5,0/3,djuric,5471.0,A,Pc,djuric,Monza,12.0,12.0,0.0,12.0,12.0,0.0,43.0,40.0
dodo,Fiorentina,D,57.75,64,67,40,60,,,,,,,,,,,,,,,11/20,0,3/5,dodo,5885.0,D,Dd;E,dodo,Fiorentina,9.0,9.0,0.0,9.0,9.0,0.0,23.0,23.0
dominguez b.,Bologna,A,50.0,60,60,20,60,,,,,,,,,,,Goleador,,,,11/20,3/5,0/3,dominguez,6895.0,A,A,dominguez b.,Bologna,5.0,5.0,0.0,5.0,5.0,0.0,11.0,11.0
donnarumma an.,Torino,P,43.75,39,36,20,80,,,,,,,,,,,,,,,0/10,0/1,0/1,donnarumma,216.0,P,Por,donnarumma an.,Torino,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
dorgu,Lecce,D,56.75,66,61,40,60,,,,,Outsider,,,,,,Goleador,,,,21/30,0/3,0/3,dorgu,6257.0,D,Ds;E,dorgu,Lecce,7.0,8.0,-1.0,7.0,8.0,-1.0,20.0,20.0
dossena,Como,D,56.25,65,60,40,60,,,,,Outsider,,,,,,Goleador,,,,21/30,0/3,0/3,dossena,6230.0,D,Dc,dossena,Como,8.0,8.0,0.0,8.0,8.0,0.0,14.0,14.0
doumbia i.,Venezia,C,45.75,46,57,20,60,,,,,,,,,,,,,,,11/20,0/3,0/3,doumbia,6683.0,C,M;C,doumbia i.,Venezia,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
dovbyk,Roma,A,75.5,82,80,80,60,,,,Fuoriclasse,,,,,,Buona Media,Goleador,,Rigorista,,30+,16/19,4/7,dovbyk,6675.0,A,Pc,dovbyk,Roma,30.0,32.0,-2.0,29.0,31.0,-2.0,226.0,226.0
duda,Verona,C,62.25,66,63,40,80,,,,,,,,,,,,,Rigorista,,11/20,0/2,0/3,duda,4342.0,C,M;C,duda,Verona,7.0,7.0,0.0,8.0,8.0,0.0,16.0,20.0
dumfries,Inter,D,67.0,78,70,60,60,,,,,Outsider,,,,,Buona Media,,Assistman,,,21/30,3/5,4/7,dumfries,5513.0,D,E,dumfries,Inter,16.0,16.0,0.0,15.0,15.0,0.0,38.0,35.0
duncan,Venezia,C,53.75,59,76,40,40,,,,,,,,,,,,,,,21/30,0/3,0/3,duncan,526.0,C,C,duncan,Venezia,8.0,8.0,0.0,8.0,8.0,0.0,16.0,15.0
dybala,Roma,A,68.5,87,87,60,40,,,,Fuoriclasse,,,,,,Buona Media,Goleador,Assistman,Rigorista,,21/30,8/11,4/7,dybala,309.0,A,A,dybala,Roma,32.0,34.0,-2.0,33.0,35.0,-2.0,267.0,267.0
ebosse,Udinese,D,51.75,46,61,40,60,,,,,,,,,,,,,,,11/20,0/1,0/2,ebosse,5994.0,D,Ds;Dc,ebosse,Udinese,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
ebuehi,Empoli,D,52.75,51,60,40,60,,,,,,,,,,Buona Media,,,,,11/20,0/2,0/2,ebuehi,5480.0,D,Dd;E,ebuehi,Empoli,3.0,4.0,-1.0,3.0,4.0,-1.0,6.0,6.0
ederson dos santos,Atalanta,C,77.0,90,78,60,80,,,,,Outsider,,,,,Buona Media,Goleador,Assistman,,,30+,3/5,3/5,ederson,5792.0,C,M;C,ederson d.s.,Atalanta,15.0,15.0,0.0,17.0,18.0,-1.0,55.0,67.0
ehizibue,Udinese,D,61.0,63,61,60,60,,,,,Outsider,,,,,,,Assistman,,,11/20,0/2,3/5,ehizibue,6047.0,D,Dd;E,ehizibue,Udinese,7.0,5.0,2.0,7.0,5.0,2.0,8.0,8.0
ekkelenkamp,Udinese,C,52.75,48,63,40,60,,,,,,,,,,,,,,,21/30,3/5,0/3,ekkelenkamp,6684.0,C,C;T,ekkelenkamp,Udinese,7.0,6.0,1.0,7.0,6.0,1.0,12.0,12.0
ekong,Empoli,A,50.25,59,62,20,60,,,,,,,,,,,,,,,11/20,3/5,3/5,ekong,6011.0,A,A,ekong,Empoli,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
ekuban,Genoa,A,50.75,59,64,40,40,,,,,,,,,,,,,,,11/20,3/5,3/5,ekuban,5506.0,A,A,ekuban,Genoa,9.0,9.0,0.0,9.0,9.0,0.0,10.0,10.0
el azzouzi,Bologna,C,54.5,55,63,40,60,,,,,,,,,,,,,,,11/20,0/2,0/2,el,6225.0,C,M;C,el azzouzi,Bologna,3.0,4.0,-1.0,4.0,5.0,-1.0,7.0,8.0
el haddad saad,Venezia,C,46.5,50,56,20,60,,,,,,,,,,,,,,,0/10,0/3,0/3,el,795.0,C,W,el shaarawy,Roma,7.0,8.0,-1.0,6.0,7.0,-1.0,19.0,17.0
el shaarawy stephan,Roma,C,65.0,68,72,60,60,,,,,,,,,,,,Assistman,,,11/20,3/5,3/5,el,795.0,C,W,el shaarawy,Roma,7.0,8.0,-1.0,6.0,7.0,-1.0,19.0,17.0
ellertsson,Venezia,C,53.0,49,63,40,60,,,,,Outsider,,,,,,,,,,30+,0/3,0/3,ellertsson,6020.0,C,C;W,ellertsson,Venezia,4.0,2.0,2.0,4.0,2.0,2.0,11.0,11.0
engelhardt,Como,C,55.75,60,63,40,60,,,,,Outsider,,,,,Buona Media,,,,,21/30,0/3,0/3,engelhardt,6676.0,C,M;C,engelhardt,Como,3.0,4.0,-1.0,3.0,4.0,-1.0,8.0,10.0
erlic,Bologna,D,59.0,69,67,40,60,,,,,,,,,,,,,,,21/30,0/2,0/1,erlic,4982.0,D,Dc,erlic,Bologna,7.0,6.0,1.0,7.0,6.0,1.0,17.0,17.0
esposito se.,Empoli,A,58.25,68,65,40,60,,,,,Outsider,,,,,,Goleador,,,,11/20,4/7,3/5,esposito,4463.0,A,A,esposito se.,Empoli,5.0,3.0,2.0,5.0,3.0,2.0,15.0,15.0
estevez,Parma,C,52.75,48,63,40,60,,,,,,,,,,,,,,,0/10,0/2,0/2,estevez,5290.0,C,M;C,estevez,Parma,4.0,4.0,0.0,5.0,5.0,0.0,10.0,12.0
fabbian,Bologna,C,50.5,56,66,20,60,,,,,Outsider,,,,,,Goleador,,,,11/20,3/5,0/3,fabbian,6206.0,C,C;T,fabbian,Bologna,14.0,13.0,1.0,14.0,13.0,1.0,53.0,53.0
fadera alieu,Como,C,55.0,59,61,40,60,,,,,Outsider,,,,,,,Assistman,,,11/20,3/5,3/5,fadera,6815.0,C,W;A,fadera,Como,5.0,6.0,-1.0,4.0,5.0,-1.0,13.0,12.0
fagioli,Juventus,C,55.5,55,67,40,60,,,,,Outsider,,,,,,,Assistman,,,11/20,0/2,0/3,fagioli,4465.0,C,C;T,fagioli,Juventus,10.0,10.0,0.0,9.0,9.0,0.0,18.0,18.0
falcone,Lecce,P,48.75,70,45,20,60,,,,,,,,,,,,,,,0/10,8/11,0,falcone,2134.0,P,Por,falcone,Lecce,9.0,9.0,0.0,9.0,9.0,0.0,33.0,33.0
faraoni,Verona,D,55.0,53,67,40,60,,,,,,,,,,Buona Media,,,,,11/20,3/5,3/5,faraoni,581.0,D,Dd;E,faraoni,Verona,2.0,3.0,-1.0,2.0,3.0,-1.0,6.0,6.0
fazzini jacopo,Empoli,C,51.75,53,54,20,80,,,,,Outsider,,,,,,,,,,11/20,3/5,3/5,fazzini,6010.0,C,C;T,fazzini,Empoli,6.0,4.0,2.0,6.0,4.0,2.0,23.0,23.0
felici,Cagliari,C,55.75,64,59,40,60,,,,,Outsider,,,,,,Goleador,,,,21/30,3/5,0/3,felici,6640.0,C,E;W,felici,Cagliari,5.0,5.0,0.0,6.0,6.0,0.0,12.0,15.0
ferguson,Bologna,C,43.25,59,74,20,20,,,,,,,,,,,,,,,0/10,0/3,0/3,ferguson,5858.0,C,C;T,ferguson,Bologna,17.0,18.0,-1.0,17.0,18.0,-1.0,42.0,42.0
ferreira joao,Udinese,D,49.25,55,62,40,40,,,,,,,,,,,,,,,11/20,0/2,0/3,ferreira,,,,,,,,,,,,,
fiordilino luca,Venezia,C,52.5,47,63,40,60,,,,,,,,,,,,,,,0/10,0/3,0/3,fiordilino,,,,,,,,,,,,,
florenzi alessandro,Milan,D,62.25,72,77,60,40,,,,,,,,,,Buona Media,,,,,11/20,0/3,0/3,florenzi,,,,,,,,,,,,,
fofana y.,Milan,C,66.75,76,71,60,60,,,,,Outsider,,,,,Buona Media,Goleador,Assistman,,,21/30,3/5,3/5,fofana,4686.0,C,M;C,fofana y.,Milan,7.0,8.0,-1.0,8.0,9.0,-1.0,19.0,22.0
folorunsho,Napoli,C,56.0,76,68,40,40,,,,,,,,,,,Goleador,,,,11/20,0/3,0/2,folorunsho,6252.0,C,C;T,folorunsho,Napoli,6.0,7.0,-1.0,6.0,7.0,-1.0,15.0,15.0
frattesi,Inter,C,63.75,83,72,40,60,,,,,,,,,,Buona Media,Goleador,,,,21/30,3/5,0/3,frattesi,2848.0,C,C;T,frattesi,Inter,18.0,18.0,0.0,17.0,17.0,0.0,62.0,59.0
frendrup,Genoa,C,64.0,70,66,60,60,,,,,,,,,,Buona Media,,,,,30+,0/3,0/2,frendrup,5791.0,C,E;M,frendrup,Genoa,11.0,11.0,0.0,13.0,13.0,0.0,27.0,40.0
frese,Verona,D,56.75,60,67,40,60,,,,,Outsider,,,,,Buona Media,,Assistman,,,21/30,0/3,3/5,frese,6639.0,D,Ds;E,frese,Verona,6.0,5.0,1.0,6.0,5.0,1.0,11.0,11.0
freuler,Bologna,C,57.5,76,74,40,40,,,,,,,,,,,,,,,21/30,3/5,0/3,freuler,788.0,C,M;C,freuler,Bologna,10.0,9.0,1.0,11.0,10.0,1.0,19.0,22.0
fruchtl,Lecce,P,49.5,39,59,40,60,,,,,,,,,,,,,,,0/10,0,0,fruchtl,2401.0,P,Por,fruchtl,Lecce,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
furlanetto,Lazio,P,45.75,48,55,20,60,,,,,,,,,,,,,,,0/10,0,0,furlanetto,6417.0,P,Por,furlanetto,Lazio,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
gabbia,Milan,D,63.25,70,63,60,60,,,,,,,,,,,,,,,11/20,0/3,0/1,gabbia,4401.0,D,Dc,gabbia,Milan,3.0,4.0,-1.0,3.0,4.0,-1.0,9.0,9.0
gaetano gianluca,Cagliari,C,57.5,64,66,40,60,,,,,Outsider,,,,,Buona Media,Goleador,Assistman,,,21/30,3/5,0/3,gaetano,4364.0,C,T,gaetano,Cagliari,8.0,9.0,-1.0,7.0,8.0,-1.0,40.0,35.0
gagliardini,Monza,C,57.25,60,69,40,60,,,,,,,,,,Buona Media,,,,,11/20,0/2,0/3,gagliardini,801.0,C,M;C,gagliardini,Monza,5.0,5.0,0.0,6.0,6.0,0.0,9.0,11.0
gallo,Lecce,D,60.25,71,70,60,40,,,,,,,,,,,,,,,0/10,0,0,gallo,4502.0,D,Ds;E,gallo,Lecce,5.0,5.0,0.0,5.0,5.0,0.0,11.0,11.0
gaspar k.,Lecce,D,53.0,49,63,40,60,,,,,,,,,,,,,,,21/30,0/3,0/3,gaspar,6632.0,D,Dc,gaspar k.,Lecce,4.0,3.0,1.0,4.0,3.0,1.0,12.0,12.0
gatti,Juventus,D,35.25,71,30,20,20,,,,,,,,,,,,,,,0/10,0,0,gatti,5831.0,D,Dc,gatti,Juventus,8.0,7.0,1.0,8.0,7.0,1.0,20.0,20.0
ghilardi,Verona,D,46.5,45,61,20,60,,,,,,,,,,,,,,,11/20,0/1,0/1,ghilardi,6631.0,D,Dc,ghilardi,Verona,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
giannetti l.,Udinese,D,51.25,42,63,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3,giannetti,6533.0,D,Dc,giannetti l.,Udinese,6.0,4.0,2.0,6.0,4.0,2.0,14.0,14.0
gigot,Lazio,D,56.5,62,64,60,40,,,,,,,,,,,Goleador,,,,21/30,0/3,0/3,gigot,5899.0,D,Dc,gigot,Lazio,8.0,8.0,0.0,8.0,8.0,0.0,19.0,19.0
gila,Lazio,D,49.75,61,58,20,60,,,,,,,,,,,,,,,0/10,0/1,0/1,gila,5833.0,D,Dc,gila,Lazio,4.0,5.0,-1.0,4.0,5.0,-1.0,11.0,11.0
gilmour,Napoli,C,61.5,56,70,60,60,,,,,,,,,,Buona Media,,,,,11/20,0/2,0/2,gilmour,5131.0,C,M;C,gilmour,Napoli,7.0,7.0,0.0,8.0,8.0,0.0,11.0,13.0
gineitis,Torino,C,45.75,44,59,20,60,,,,,,,,,,,,,,,11/20,0/3,0/3,gineitis,6170.0,C,C,gineitis,Torino,3.0,4.0,-1.0,3.0,4.0,-1.0,12.0,10.0
godfrey,Atalanta,D,54.25,55,62,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3,godfrey,5324.0,D,B;Dd;Ds,godfrey,Atalanta,7.0,7.0,0.0,9.0,9.0,0.0,12.0,15.0
goglichidze,Empoli,D,44.25,45,52,20,60,,,,,,,,,,,,,,,0/10,0/2,0/3,goglichidze,6537.0,D,Dd;Dc,goglichidze,Empoli,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
goldaniga,Como,D,51.0,45,59,40,60,,,,,,,,,,,,,,,11/20,0/2,0/1,goldaniga,418.0,D,Dc,goldaniga,Como,2.0,3.0,-1.0,2.0,3.0,-1.0,4.0,4.0
gollini,Genoa,P,67.0,56,72,60,80,,,,,Outsider,,,,,,,,,,0/10,0,0,gollini,610.0,P,Por,gollini,Genoa,10.0,10.0,0.0,10.0,10.0,0.0,34.0,34.0
gonzalez diego,Lazio,A,51.75,67,60,40,40,,,,,,,,,,,Goleador,Assistman,,,11/20,0/3,0/3,gonzalez,4179.0,A,A,gonzalez n.,Juventus,23.0,25.0,-2.0,24.0,26.0,-2.0,100.0,103.0
gonzalez joan,Lecce,A,60.75,68,75,40,60,,,,,,,,,,,,,,,11/20,0/2,0/2,gonzalez,4179.0,A,A,gonzalez n.,Juventus,23.0,25.0,-2.0,24.0,26.0,-2.0,100.0,103.0
gonzalez n.,Juventus,A,59.5,82,76,60,20,,,,,,,,,,,Goleador,,Rigorista,,21/30,8/11,3/5,gonzalez,4179.0,A,A,gonzalez n.,Juventus,23.0,25.0,-2.0,24.0,26.0,-2.0,100.0,103.0
gosens,Fiorentina,D,65.75,68,75,60,60,,,,,Outsider,,,,,,Goleador,Assistman,,,21/30,3/5,3/5,gosens,2160.0,D,E,gosens,Fiorentina,14.0,13.0,1.0,13.0,12.0,1.0,55.0,50.0
grassi,Empoli,C,52.5,61,69,40,40,,,,,,,,,,,,,,,11/20,0/3,0/3,grassi,27.0,C,M;C,grassi,Empoli,3.0,3.0,0.0,4.0,4.0,0.0,4.0,5.0
gudmundsson a.,Fiorentina,A,72.5,78,72,60,80,,,,Fuoriclasse,,,,,,Buona Media,Goleador,,,,30+,8/11,3/5,gudmundsson,5800.0,A,A,gudmundsson a.,Fiorentina,25.0,27.0,-2.0,26.0,28.0,-2.0,158.0,161.0
guendouzi,Lazio,C,66.25,70,75,60,60,,,,,Outsider,,,,,,Goleador,Assistman,,,21/30,3/5,3/5,guendouzi,4186.0,C,C,guendouzi,Lazio,9.0,10.0,-1.0,9.0,9.0,0.0,18.0,16.0
guilbert,Lecce,D,53.0,51,61,40,60,,,,,,,,,,,,,,,21/30,0/3,0/3,guilbert,5626.0,D,B;Dd;Ds,guilbert,Lecce,6.0,5.0,1.0,7.0,6.0,1.0,8.0,11.0
gyasi emmanuel,Empoli,C,58.0,65,67,40,60,,,,,Outsider,,,,,,,,,,21/30,3/5,0/3,gyasi,4992.0,C,W,gyasi,Empoli,9.0,5.0,4.0,9.0,5.0,4.0,24.0,24.0
gytkjaer,Venezia,A,59.75,46,53,60,80,,,,,,,,,,,,,,,11/20,3/5,0/2,gytkjaer,5881.0,A,Pc,gytkjaer,Venezia,5.0,5.0,0.0,4.0,4.0,0.0,10.0,10.0
haas,Empoli,C,53.25,50,63,40,60,,,,,,,,,,,,,,,21/30,0/2,0/2,haas,2161.0,C,M;C,haas,Empoli,3.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0
hainaut antoine,Parma,C,39.75,46,53,20,40,,,,,,,,,,,,,,,0/10,0/3,0/2,hainaut,,,,,,,,,,,,,
haps,Venezia,D,55.0,54,66,40,60,,,,,,,,,,,,,,,11/20,0/3,3/5,haps,5695.0,D,Ds;E,haps,Venezia,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
harroui,Verona,C,55.25,57,64,40,60,,,,,,,,,,,,,,,21/30,0/3,0/3,harroui,5688.0,C,W;T,harroui,Verona,13.0,13.0,0.0,13.0,13.0,0.0,34.0,36.0
hasa,Lecce,C,52.5,52,58,40,60,,,,,Outsider,,,,,,,Assistman,,,21/30,0/3,3/5,hasa,6903.0,C,C;T,hasa,Lecce,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
henderson l.,Empoli,C,60.5,60,62,40,80,,,,,,,,,,,,,,,11/20,0/2,0/2,henderson,4498.0,C,C;T,henderson l.,Empoli,5.0,4.0,1.0,5.0,4.0,1.0,8.0,8.0
hernandez t.,Milan,D,72.5,86,84,60,60,,,,Fuoriclasse,,,,,,Buona Media,Goleador,Assistman,Rigorista,,21/30,4/7,3/5,hernandez,4292.0,D,Ds;E,hernandez t.,Milan,20.0,20.0,0.0,20.0,20.0,0.0,84.0,84.0
hernani,Parma,C,56.0,55,69,40,60,,,,,,,,,,Buona Media,,,,,21/30,3/5,3/5,hernani,4423.0,C,C,hernani,Parma,5.0,6.0,-1.0,4.0,5.0,-1.0,11.0,9.0
hien,Atalanta,D,58.0,72,60,40,60,,,,,Outsider,,,,,Buona Media,,,,,21/30,0/2,0/2,hien,6046.0,D,Dc,hien,Atalanta,8.0,8.0,0.0,8.0,8.0,0.0,21.0,21.0
holm,Bologna,D,54.75,59,60,40,60,,,,,Outsider,,,,,,,,,,21/30,3/5,3/5,holm,5678.0,D,Dd;E,holm,Bologna,8.0,9.0,-1.0,8.0,9.0,-1.0,20.0,20.0
hysaj,Lazio,D,58.0,69,63,40,60,,,,,,,,,,,,,,,11/20,0/1,0/2,hysaj,140.0,D,Dd;Ds;E,hysaj,Lazio,3.0,4.0,-1.0,4.0,5.0,-1.0,6.0,8.0
idzes,Venezia,D,55.0,57,63,60,40,,,,,Outsider,,,,,,Goleador,,,,30+,0/3,0/3,idzes,6672.0,D,Dc,idzes,Venezia,5.0,4.0,1.0,5.0,4.0,1.0,9.0,9.0
ikone jonathan,Fiorentina,C,61.5,70,76,40,60,,,,,,,,,,,Goleador,,,,11/20,3/5,4/7,ikone,4658.0,C,W,ikone,Fiorentina,6.0,5.0,1.0,6.0,5.0,1.0,13.0,13.0
ilic,Torino,C,50.0,70,30,40,60,,,,,,,,,,,,,,,21/30,0/3,0/3,ilic,5007.0,C,C,ilic,Torino,9.0,7.0,2.0,9.0,7.0,2.0,27.0,27.0
ilic m.,Bologna,D,52.25,48,61,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3,ilic,6551.0,D,Dc,ilic m.,Bologna,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
iling junior samuel,Bologna,C,44.0,52,64,20,40,,,,,,,,,,,,Assistman,,,0/10,0/3,0/3,iling,6112.0,C,W,iling junior,Bologna,6.0,6.0,0.0,6.0,6.0,0.0,12.0,12.0
ilkhan emirhan,Torino,C,53.5,54,60,40,60,,,,,,,,,,,Goleador,Assistman,,,0/10,0/3,0/3,ilkhan,,,,,,,,,,,,,
infantino gino,Fiorentina,C,51.25,46,59,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3,infantino,,,,,,,,,,,,,
iovine,Como,D,47.5,48,62,20,60,,,,,,,,,,,,Assistman,,,11/20,0/2,0/3,iovine,6654.0,D,Dd;E,iovine,Como,3.0,3.0,0.0,3.0,3.0,0.0,10.0,10.0
isaksen,Lazio,A,62.5,62,68,60,60,,,,,,,,,,,Goleador,,,,21/30,4/7,3/5,isaksen,6398.0,A,W;A,isaksen,Lazio,12.0,11.0,1.0,13.0,12.0,1.0,27.0,30.0
ismajli,Empoli,D,54.0,53,63,40,60,,,,,,,,,,Buona Media,,,,,21/30,0/1,0/1,ismajli,5010.0,D,Dc,ismajli,Empoli,8.0,6.0,2.0,8.0,6.0,2.0,9.0,9.0
izzo,Monza,D,68.25,56,77,60,80,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/3,izzo,226.0,D,Dc,izzo,Monza,6.0,6.0,0.0,6.0,6.0,0.0,11.0,11.0
jankto,Cagliari,C,59.75,47,72,60,60,,,,,,,,,,Buona Media,,Assistman,,,21/30,3/5,4/7,jankto,1987.0,C,E;C,jankto,Cagliari,2.0,3.0,-1.0,3.0,4.0,-1.0,6.0,7.0
jean,Lecce,D,51.0,45,59,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3,jean,6883.0,D,Dc,jean,Lecce,3.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0
jesus juan,Napoli,D,56.5,62,64,40,60,,,,,,,,,,,,,,,11/20,0/1,0/1,jesus,,,,,,,,,,,,,
jimenez alex,Milan,D,49.5,59,59,20,60,,,,,,,,,,,,,,,0/10,0/3,0/3,jimenez,,,,,,,,,,,,,
